Actual_MW,Predicted_MW,Forecast_Error_MW,Anomaly
23710.0,23627.816,82.18359,0
25718.0,25717.379,0.62109375,0
27213.0,27222.55,9.550781,0
28267.0,28224.074,42.92578,0
28845.0,28848.154,3.1542969,0
29061.0,29072.389,11.388672,0
29329.0,29119.588,209.41211,0
29576.0,29515.916,60.083984,0
29926.0,29826.713,99.28711,0
30384.0,30038.58,345.41992,0
30328.0,30052.434,275.5664,0
29944.0,29634.893,309.10742,0
30358.0,29899.69,458.31055,0
30961.0,30706.86,254.14062,0
29177.0,29101.291,75.708984,0
26590.0,26767.717,177.7168,0
24371.0,24359.248,11.751953,0
23054.0,23114.97,60.970703,0
22322.0,22337.3,15.300781,0
22122.0,21943.916,178.08398,0
22387.0,22311.57,75.42969,0
23702.0,23559.047,142.95312,0
26620.0,26057.234,562.7656,0
30130.0,30018.852,111.14844,0
32315.0,32456.594,141.59375,0
34143.0,33804.582,338.41797,0
35710.0,35669.242,40.757812,0
36771.0,36767.98,3.0195312,0
37442.0,37587.902,145.90234,0
38125.0,38165.12,40.121094,0
38713.0,38672.664,40.335938,0
39141.0,39095.414,45.585938,0
39406.0,39315.883,90.11719,0
39133.0,39138.953,5.953125,0
38113.0,38054.6,58.398438,0
37280.0,36975.39,304.60938,0
37357.0,37151.746,205.2539,0
37476.0,37393.8,82.19922,0
34581.0,34916.805,335.8047,0
30864.0,31247.48,383.48047,0
28083.0,27825.697,257.30273,0
26556.0,26362.166,193.83398,0
25464.0,25559.48,95.48047,0
24844.0,24747.463,96.53711,0
24824.0,24763.336,60.664062,0
26008.0,25924.459,83.541016,0
28990.0,28411.36,578.6406,0
32354.0,32472.121,118.12109,0
34684.0,34608.91,75.08984,0
36603.0,36357.254,245.7461,0
38263.0,38316.367,53.367188,0
39492.0,39445.227,46.773438,0
40402.0,40512.44,110.44141,0
41298.0,41303.926,5.9257812,0
42266.0,41976.684,289.3164,0
42985.0,42809.277,175.72266,0
43512.0,43218.9,293.10156,0
43320.0,43311.582,8.417969,0
42225.0,42261.836,36.835938,0
40823.0,40801.215,21.785156,0
40675.0,40250.145,424.85547,0
40031.0,40749.82,718.8203,0
36772.0,37357.164,585.16406,0
33119.0,33119.938,0.9375,0
30150.0,29883.908,266.0918,0
28621.0,28218.684,402.3164,0
27401.0,27468.168,67.16797,0
26570.0,26497.533,72.4668,0
26502.0,26314.611,187.38867,0
27668.0,27592.785,75.21484,0
30643.0,30102.033,540.9668,0
34392.0,34173.562,218.4375,0
36996.0,36917.07,78.92969,0
39126.0,38875.45,250.55078,0
41222.0,40998.438,223.5625,0
42839.0,42637.22,201.78125,0
43855.0,44033.695,178.69531,0
44834.0,44740.99,93.01172,0
45827.0,45434.41,392.58984,0
46438.0,46227.953,210.04688,0
46937.0,46508.047,428.95312,0
46663.0,46706.406,43.40625,0
45416.0,45633.41,217.41016,0
43834.0,43767.273,66.72656,0
43064.0,42984.684,79.31641,0
42599.0,42991.062,392.0625,0
39090.0,40070.727,980.72656,1
35104.0,35176.242,72.24219,0
31839.0,31656.156,182.84375,0
29922.0,29687.021,234.97852,0
28578.0,28579.156,1.15625,0
27807.0,27577.867,229.13281,0
27827.0,27525.303,301.69727,0
29136.0,28977.361,158.63867,0
31828.0,31735.193,92.80664,0
35061.0,35141.555,80.55469,0
36950.0,37264.52,314.51953,0
38278.0,38433.242,155.24219,0
39628.0,39596.38,31.621094,0
40682.0,40576.27,105.73047,0
41719.0,41522.727,196.27344,0
42964.0,42555.83,408.17188,0
44132.0,43703.555,428.4453,0
45200.0,44661.484,538.5156,0
45682.0,45484.895,197.10547,0
